city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb,price_avg,clean_date
上海,整租·泉东小区 1室1厅 南,整租,浦东,潍坊,泉东小区,33.44,1,1,1,南,高,6,官方核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3800,3800,2026-01-08
上海,整租·葛洲坝玉兰花园 3室2厅 南,整租,青浦,香花桥,葛洲坝玉兰花园,130.61,3,2,2,南,中,10,官方核验|精装|双卫生间,链家,1天前维护,7500,7500,2026-01-07
上海,独栋·星荟公寓 普陀店 【限时特惠】豪华单间 可办居住证 班车直达嘉里中心+ 1室1厅,独栋,未知,未知,未知,51.0,1,1,1,未知,未知,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,星荟公寓,2个月前维护,7500,7500,2025-11-09
上海,整租·新水桥公寓 3室1厅 南,整租,松江,莘闵别墅,新水桥公寓,87.33,3,1,1,南,中,6,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,3500,3500,2026-01-08
上海,整租·玉宇新苑 3室1厅 南,整租,浦东,川沙,玉宇新苑,209.74,3,1,1,南,高,9,官方核验|随时看房,链家,未知,3500,3500,未知
上海,独栋·星荟公寓 普陀店 【公寓直租】豪华轻奢灰一居室·可办居住证·民用水电 1室1厅,独栋,未知,未知,未知,71.0,1,1,1,未知,未知,0,新上|独栋公寓|近地铁|精装|有阳台|开放厨房|押一付一,星荟公寓,3天前维护,9000-9300,9000,2026-01-05
上海,整租·牡丹路186弄 2室1厅 南,整租,浦东,花木,牡丹路186弄,66.34,2,1,1,南,中,6,官方核验|自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,6900,6900,2026-01-08
上海,独栋·贝壳新青年公寓 芳甸路店 【是独立院子超好哒】租房不将就！我的梦幻公寓大揭秘，看一眼就爱上 1室1厅,独栋,未知,未知,未知,20.0,1,1,1,未知,未知,0,新上|独栋公寓|月租|精装|开放厨房|押一付一,贝壳新青年公寓,2个月前维护,3790,3790,2025-11-09
上海,整租·曹杨四村(兰花园) 1室1厅 南,整租,普陀,曹杨,曹杨四村(兰花园),40.78,1,1,1,南,高,6,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,3969,3969,2026-01-08
上海,独栋·贝壳新青年公寓 南翔店 【长租优惠】别墅式一居室/带小院子/可做饭 1室1厅,独栋,未知,未知,未知,20.0,1,1,1,未知,未知,0,独栋公寓|月租|拎包入住|近地铁|精装|押一付一,贝壳新青年公寓,6天前维护,3250,3250,2026-01-02
上海,整租·长兴金茂逸墅 3室2厅 南/北,整租,崇明,长兴岛,长兴金茂逸墅,89.36,3,2,2,南 北,高,8,官方核验|精装|双卫生间|随时看房,链家,未知,5000,5000,未知
上海,整租·东滩花园 2室1厅 南/北,整租,崇明,陈家镇,东滩花园,92.11,2,1,1,南 北,中,4,官方核验,链家,2天前维护,1200,1200,2026-01-06
上海,整租·虹桥璀璨公馆 3室1厅 南,整租,青浦,徐泾,虹桥璀璨公馆,105.4,3,1,2,南,高,17,官方核验|精装|双卫生间,链家,未知,10500,10500,未知
上海,整租·华润虹桥润璟 3室2厅 南,整租,青浦,徐泾,华润虹桥润璟,96.0,3,2,2,南,低,6,官方核验|精装|双卫生间,链家,2天前维护,8500,8500,2026-01-06
上海,整租·牡丹路186弄 2室1厅 南,整租,浦东,花木,牡丹路186弄,66.34,2,1,1,南,中,6,官方核验|自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,6900,6900,2026-01-08
上海,整租·新塘桥生活广场 4室2厅 南,整租,浦东,塘桥,新塘桥生活广场,191.63,4,2,2,南,中,22,官方核验|近地铁|双卫生间|随时看房,链家,未知,16000,16000,未知
上海,整租·曹杨四村(兰花园) 1室1厅 南,整租,普陀,曹杨,曹杨四村(兰花园),40.78,1,1,1,南,高,6,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,3969,3969,2026-01-08
上海,独栋·COZI可遇 虹桥店 【携程专享员工福利】年签特价房，包物业网络，付1押1 1室1厅,独栋,未知,未知,未知,58.0,1,1,1,未知,未知,0,独栋公寓|月租|拎包入住|精装|有阳台|开放厨房|押一付一,COZI可遇,2个月前维护,5000-5680,5000,2025-11-09
上海,整租·中东小区 1室1厅 南,整租,长宁,新华路,中东小区,35.0,1,1,1,南,低,5,官方核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,4515,4515,2026-01-08
上海,独栋·中海海堂 国际服务公寓（上海） 【人气户型】豪华一室套房·品质生活优选·商圈环绕·近公园·近华东师范大学 1室1厅,独栋,未知,未知,未知,50.0,1,1,1,未知,未知,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,中海海堂,1个月前维护,9200-9500,9200,2025-12-09
上海,整租·田林三四村 2室1厅 南,整租,徐汇,田林,田林三四村,48.13,2,1,1,南,高,6,官方核验|自营|新上|近地铁|押一付一|随时看房|首次出租,贝壳优选,今天维护,5000,5000,2026-01-08
上海,整租·和丰苑 1室1厅 南,整租,普陀,甘泉宜川,和丰苑,42.54,1,1,1,南,中,18,官方核验|近地铁|精装|随时看房,链家,1天前维护,5500,5500,2026-01-07
上海,整租·汇枫景苑 1室1厅 南,整租,宝山,上大,汇枫景苑,54.18,1,1,1,南,中,18,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3950,3950,2026-01-08
上海,独栋·城方公寓 虹桥璟智社区 虹桥商务区大一房/可办居住证/民用水电/可养宠物 1室1厅,独栋,未知,未知,未知,66.0,1,1,1,未知,未知,0,独栋公寓|精装|有阳台|开放厨房,城方公寓,1个月前维护,5246,5246,2025-12-09
上海,整租·美罗家园慧苑 2室2厅 南,整租,宝山,罗店,美罗家园慧苑,77.02,2,2,1,南,低,16,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3200,3200,2026-01-08
上海,独栋·中海友里 上海金沙江路店 三房特惠 官方直租 民水民电 管家服务 近环球港 中山公园 3室2厅,独栋,未知,未知,未知,94.0,3,2,1,未知,未知,0,独栋公寓|近地铁|精装|有阳台|开放厨房|押一付一,中海友里,10天前维护,15000,15000,2025-12-29
上海,整租·欧九小区 2室1厅 南,整租,虹口,鲁迅公园,欧九小区,55.0,2,1,1,南,高,6,官方核验|自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,5200,5200,2026-01-08
上海,独栋·中海友里 上海金沙江路店 【留学生公寓】无服务费 租金月付 华师大华政步行即可到达 1室1厅,独栋,未知,未知,未知,31.0,1,1,1,未知,未知,0,独栋公寓|近地铁|精装|有阳台|押一付一,中海友里,10天前维护,6500,6500,2025-12-29
上海,整租·日晖二村 1室1厅 南,整租,徐汇,斜土路,日晖二村,40.9,1,1,1,南,低,5,官方核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,4500,4500,2026-01-08
上海,独栋·中海友里 上海金沙江路店 【普陀环球港限时短租】阳台一居室/独立厨卫/24H安保送/入户保洁 1室1厅,独栋,未知,未知,未知,31.0,1,1,1,未知,未知,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,中海友里,今天维护,5599,5599,2026-01-08
上海,整租·三门路510弄 1室1厅 南,整租,杨浦,五角场,三门路510弄,48.73,1,1,1,南,低,6,自营|新上|近地铁|押一付一|随时看房|首次出租,贝壳优选,今天维护,3780,3780,2026-01-08
上海,整租·通用国际 1室1厅 北,整租,嘉定,南翔,通用国际,33.83,1,1,1,北,高,6,精装,链家,未知,2900,2900,未知
上海,独栋·方隅服务公寓 上海杨思店 【前滩精装公寓】公寓直租 宠物友好 免费健身房台球厅篮球场 花园式一居公寓 1室1厅,独栋,未知,未知,未知,47.0,1,1,1,未知,未知,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,方隅服务公寓,1天前维护,7380,7380,2026-01-07
上海,整租·邮航小区 1室1厅 南,整租,长宁,虹桥,邮航小区,27.55,1,1,1,南,低,5,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,4000,4000,2026-01-08
上海,整租·上海家天下花园 4室2厅 跃层 南/北,整租,松江,新桥,上海家天下花园,224.56,4,2,3,南 北,低,2,官方核验|精装,链家,1天前维护,13000,13000,2026-01-07
上海,独栋·方隅服务公寓 上海杨思店 【6/8号线地铁房】宠物友好 月付 免费篮球场健身房 1室1厅,独栋,未知,未知,未知,40.0,1,1,1,未知,未知,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,方隅服务公寓,1天前维护,7390,7390,2026-01-07
上海,整租·西凌一村 1室0厅 北,整租,黄浦,蓬莱公园,西凌一村,27.95,1,0,1,北,中,7,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,3800,3800,2026-01-08
上海,独栋·华润置地·有巢公寓 芦恒路店 【短租特价】近世博前滩/地铁站50米/免费健身房/一室一厅/直达人广/月付可开票 1室1厅,独栋,未知,未知,未知,48.0,1,1,1,未知,未知,0,独栋公寓|月租|近地铁|精装|开放厨房,华润置地·有巢公寓,11天前维护,4850,4850,2025-12-28
上海,整租·工农三村 1室1厅 南,整租,杨浦,中原,工农三村,48.55,1,1,1,南,高,6,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,3400,3400,2026-01-08
上海,独栋·华润置地·有巢公寓 芦恒路店 地铁站旁/央企直租 全新家电实墙隔音/直达前滩/无中介费 开间,独栋,未知,未知,未知,25.0,1,0,1,未知,未知,0,独栋公寓|月租|近地铁|精装|开放厨房,华润置地·有巢公寓,12天前维护,3094,3094,2025-12-27
上海,整租·龙门邨 1室1厅 南,整租,黄浦,豫园,龙门邨,35.0,1,1,1,南,低,3,官方核验|近地铁|精装,链家,未知,6500,6500,未知
上海,整租·强家渡小区 2室1厅 南,整租,长宁,中山公园,强家渡小区,48.68,2,1,1,南,高,6,官方核验|近地铁|精装,链家,未知,6500,6500,未知
上海,整租·佘山3号 4室3厅 复式 南,整租,松江,佘山,佘山3号,384.71,4,3,4,南,低,2,官方核验|精装|随时看房,链家,1天前维护,19000,19000,2026-01-07
上海,整租·青春驿站 1室1厅 南,整租,松江,九亭,青春驿站,43.0,1,1,1,南,高,12,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3550,3550,2026-01-08
上海,整租·花木苑 2室1厅 南,整租,浦东,花木,花木苑,73.79,2,1,1,南,高,6,官方核验|近地铁,链家,2天前维护,6500,6500,2026-01-06
上海,整租·工农三村 1室1厅 南,整租,杨浦,中原,工农三村,48.55,1,1,1,南,高,6,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,3400,3400,2026-01-08
上海,独栋·中海友里 上海金沙江路店 三房特惠 官方直租 民水民电 管家服务 近环球港 中山公园 3室2厅,独栋,未知,未知,未知,94.0,3,2,1,未知,未知,0,独栋公寓|近地铁|精装|有阳台|开放厨房|押一付一,中海友里,10天前维护,15000,15000,2025-12-29
上海,整租·凤城二村 2室1厅 东,整租,杨浦,控江路,凤城二村,36.38,2,1,1,东,高,5,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,4200,4200,2026-01-08
上海,独栋·中海友里 上海金沙江路店 【留学生公寓】无服务费 租金月付 华师大华政步行即可到达 1室1厅,独栋,未知,未知,未知,31.0,1,1,1,未知,未知,0,独栋公寓|近地铁|精装|有阳台|押一付一,中海友里,10天前维护,6500,6500,2025-12-29
上海,整租·长海坊 1室1厅 南,整租,徐汇,康健,长海坊,44.44,1,1,1,南,高,6,官方核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3600,3600,2026-01-08
上海,整租·大名城映辰二期 3室2厅 南/北,整租,青浦,重固,大名城映辰二期,100.82,3,2,2,南 北,中,16,官方核验|业主自荐|新上|精装|双卫生间|随时看房,链家,4天前维护,4500,4500,2026-01-04
上海,整租·田渡小区 2室1厅 南,整租,长宁,新华路,田渡小区,67.82,2,1,1,南,低,6,自营|新上|近地铁|押一付一|随时看房|首次出租,贝壳优选,今天维护,6090,6090,2026-01-08
上海,独栋·中海友里 上海金沙江路店 【普陀环球港限时短租】阳台一居室/独立厨卫/24H安保送/入户保洁 1室1厅,独栋,未知,未知,未知,31.0,1,1,1,未知,未知,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,中海友里,今天维护,5599,5599,2026-01-08
上海,整租·高申北苑 2室1厅 南,整租,浦东,高行,高申北苑,82.0,2,1,1,南,低,18,官方核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,5400,5400,2026-01-08
上海,独栋·桂客公寓 大柏树店 朝阳40平一室一厅内置阳台房-1131 1室1厅,独栋,未知,未知,未知,43.0,1,1,1,未知,未知,0,独栋公寓|近地铁|精装|有阳台|开放厨房|押一付一,桂客公寓,13天前维护,4939-5000,4939,2025-12-26
上海,整租·中虹华苑 2室1厅 南,整租,嘉定,江桥,中虹华苑,74.0,2,1,1,南,低,6,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,4700,4700,2026-01-08
上海,独栋·方隅服务公寓 上海杨思店 【前滩精装公寓】公寓直租 宠物友好 免费健身房台球厅篮球场 花园式一居公寓 1室1厅,独栋,未知,未知,未知,47.0,1,1,1,未知,未知,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,方隅服务公寓,1天前维护,7380,7380,2026-01-07
上海,整租·嘉尚坊 2室1厅 南,整租,嘉定,丰庄,嘉尚坊,57.0,2,1,1,南,中,6,官方核验|自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,5000,5000,2026-01-08
上海,独栋·方隅服务公寓 上海杨思店 【6/8号线地铁房】宠物友好 月付 免费篮球场健身房 1室1厅,独栋,未知,未知,未知,40.0,1,1,1,未知,未知,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,方隅服务公寓,1天前维护,7390,7390,2026-01-07
上海,整租·百欣苑 3室1厅 南,整租,浦东,川沙,百欣苑,99.0,3,1,1,南,高,6,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3200,3200,2026-01-08
上海,整租·梦丹苑 2室1厅 南,整租,青浦,夏阳,梦丹苑,86.22,2,1,1,南,中,6,官方核验|新上|精装|随时看房,链家,未知,3200,3200,未知
上海,独栋·华润置地·有巢公寓 芦恒路店 【短租特价】近世博前滩/地铁站50米/免费健身房/一室一厅/直达人广/月付可开票 1室1厅,独栋,未知,未知,未知,48.0,1,1,1,未知,未知,0,独栋公寓|月租|近地铁|精装|开放厨房,华润置地·有巢公寓,11天前维护,4850,4850,2025-12-28
上海,整租·凌兆新村(凌兆路379弄) 1室1厅 南,整租,浦东,三林,凌兆新村(凌兆路379弄),49.84,1,1,1,南,中,6,官方核验|近地铁,链家,4天前维护,4500,4500,2026-01-04
上海,整租·绿地天呈 3室1厅 南,整租,嘉定,菊园新区,绿地天呈,90.73,3,1,1,南,低,20,官方核验,链家,3天前维护,4500,4500,2026-01-05
上海,独栋·华润置地·有巢公寓 芦恒路店 地铁站旁/央企直租 全新家电实墙隔音/直达前滩/无中介费 开间,独栋,未知,未知,未知,25.0,1,0,1,未知,未知,0,独栋公寓|月租|近地铁|精装|开放厨房,华润置地·有巢公寓,12天前维护,3094,3094,2025-12-27
上海,整租·鞍山六村 1室1厅 南,整租,杨浦,鞍山,鞍山六村,42.47,1,1,1,南,中,5,官方核验|近地铁|精装,链家,未知,4200,4200,未知
上海,独栋·华润置地·有巢公寓 芦恒路店 【短租特价房】直达人民广场/无中介费/拎包入住/八号线地铁站旁 开间,独栋,未知,未知,未知,25.0,1,0,1,未知,未知,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,华润置地·有巢公寓,11天前维护,3172,3172,2025-12-28
上海,整租·东旺公寓 1室1厅 南,整租,普陀,长征,东旺公寓,62.99,1,1,1,南,高,7,官方核验|精装,链家,1天前维护,4800,4800,2026-01-07
上海,独栋·城方公寓 耀华璟耀社区 老带新-国企直租 保租房一室 民用水电燃 近前滩 1室1厅,独栋,未知,未知,未知,48.61,1,1,1,未知,未知,0,独栋公寓|近地铁|精装|有阳台|开放厨房,城方公寓,10个月前维护,6573-6672,6573,2025-03-14
上海,整租·信达蓝尊 3室2厅 南,整租,松江,松江大学城,信达蓝尊,90.98,3,2,1,南,低,19,官方核验,链家,3天前维护,5300,5300,2026-01-05
上海,整租·安高申宸院 3室2厅 南,整租,浦东,唐镇,安高申宸院,98.58,3,2,2,南,低,18,官方核验|近地铁|精装|双卫生间|随时看房,链家,1天前维护,7800,7800,2026-01-07
上海,整租·凤城二村 1室0厅 南,整租,杨浦,控江路,凤城二村,33.82,1,0,1,南,中,5,官方核验|近地铁|随时看房,链家,1天前维护,2800,2800,2026-01-07
上海,整租·高兴花园二三四街坊 1室1厅 南,整租,闵行,春申,高兴花园二三四街坊,43.04,1,1,1,南,低,6,官方核验|精装,链家,4天前维护,3400,3400,2026-01-04
上海,整租·长海坊 1室1厅 南,整租,徐汇,康健,长海坊,44.44,1,1,1,南,高,6,官方核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3600,3600,2026-01-08
上海,整租·世昶生活广场 1室0厅 南,整租,嘉定,安亭,世昶生活广场,220.0,1,0,0,南,中,22,近地铁,链家,未知,12000,12000,未知
上海,整租·田渡小区 2室1厅 南,整租,长宁,新华路,田渡小区,67.82,2,1,1,南,低,6,自营|新上|近地铁|押一付一|随时看房|首次出租,贝壳优选,今天维护,6090,6090,2026-01-08
上海,独栋·露美家花园精品公寓 金桥店 经典一居室 1室1厅,独栋,未知,未知,未知,33.0,1,1,1,未知,未知,0,独栋公寓|月租|近地铁|精装|押一付一,露美家花园精品公寓,13天前维护,3500-4000,3500,2025-12-26
上海,整租·凤城二村 2室1厅 东,整租,杨浦,控江路,凤城二村,36.38,2,1,1,东,高,5,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,4200,4200,2026-01-08
上海,整租·百鸟苑 2室1厅 南,整租,松江,洞泾,百鸟苑,60.0,2,1,1,南,中,16,官方核验|自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,2500,2500,2026-01-08
上海,整租·恒大华城长清苑 2室1厅 南,整租,浦东,杨思前滩,恒大华城长清苑,81.12,2,1,1,南,中,5,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,6000,6000,2026-01-08
上海,整租·兆丰帝景苑 2室2厅 南,整租,徐汇,徐家汇,兆丰帝景苑,100.02,2,2,1,南,高,28,官方核验|近地铁,链家,1天前维护,14500,14500,2026-01-07
上海,整租·海滨新村 3室1厅 南/北,整租,宝山,淞宝,海滨新村,99.79,3,1,1,南 北,中,5,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,4500,4500,2026-01-08
上海,整租·高申北苑 2室1厅 南,整租,浦东,高行,高申北苑,82.0,2,1,1,南,低,18,官方核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,5400,5400,2026-01-08
上海,整租·中虹华苑 2室1厅 南,整租,嘉定,江桥,中虹华苑,74.0,2,1,1,南,低,6,官方核验|自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,4700,4700,2026-01-08
上海,整租·嘉尚坊 2室1厅 南,整租,嘉定,丰庄,嘉尚坊,57.0,2,1,1,南,中,6,官方核验|自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,5000,5000,2026-01-08
上海,整租·百欣苑 3室1厅 南,整租,浦东,川沙,百欣苑,99.0,3,1,1,南,高,6,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3200,3200,2026-01-08
上海,整租·新天地河滨花园 3室2厅 南/北,整租,长宁,天山,新天地河滨花园,145.01,3,2,2,南 北,中,34,官方核验|近地铁|精装|双卫生间,链家,5天前维护,21500,21500,2026-01-03
上海,整租·上船大楼 1室1厅 南,整租,浦东,梅园,上船大楼,63.49,1,1,1,南,高,18,官方核验|近地铁|随时看房,链家,2天前维护,6300,6300,2026-01-06
上海,整租·世纪非凡怡园 3室2厅 南,整租,宝山,顾村,世纪非凡怡园,134.14,3,2,2,南,中,4,官方核验|双卫生间|随时看房,链家,4天前维护,4300,4300,2026-01-04
上海,整租·康虹佳园(公寓) 4室2厅 南,整租,青浦,徐泾,康虹佳园(公寓),192.8,4,2,2,南,高,5,官方核验|双卫生间,链家,3天前维护,9600,9600,2026-01-05
上海,整租·天山商厦 4室1厅 南,整租,长宁,中山公园,天山商厦,185.14,4,1,2,南,高,30,官方核验|近地铁|精装|双卫生间|随时看房,链家,未知,17000,17000,未知
上海,整租·丽茵别墅 7室3厅 复式 南,整租,松江,泗泾,丽茵别墅,280.11,7,3,4,南,低,2,官方核验|精装,链家,未知,15000,15000,未知
上海,整租·丽泽兰馨苑 2室1厅 南/北,整租,浦东,书院镇,丽泽兰馨苑,79.78,2,1,1,南 北,低,6,官方核验|随时看房,链家,2天前维护,1700,1700,2026-01-06
上海,整租·中福花苑 1室1厅 西,整租,黄浦,蓬莱公园,中福花苑,42.46,1,1,1,西,中,15,官方核验|近地铁|随时看房,链家,未知,6066,6066,未知
上海,整租·融信铂湾 3室2厅 复式 南,整租,青浦,赵巷,融信铂湾,194.24,3,2,4,南,低,3,官方核验|精装,链家,2天前维护,14000,14000,2026-01-06
上海,整租·江临天下 3室2厅 南,整租,浦东,陆家嘴,江临天下,160.0,3,2,2,南,低,35,官方核验|近地铁|双卫生间,链家,1天前维护,17800,17800,2026-01-07
上海,整租·塘和家园桂花锦苑 2室1厅 南/北,整租,松江,泗泾,塘和家园桂花锦苑,76.33,2,1,1,南 北,高,18,官方核验,链家,1天前维护,3400,3400,2026-01-07
上海,整租·海潮新村 1室0厅 西,整租,黄浦,蓬莱公园,海潮新村,27.09,1,0,1,西,中,6,官方核验|近地铁|精装|随时看房,链家,2天前维护,4500,4500,2026-01-06
上海,整租·罗山花苑 2室1厅 南,整租,浦东,碧云,罗山花苑,74.0,2,1,1,南,高,6,官方核验|近地铁|精装|随时看房,链家,1天前维护,6500,6500,2026-01-07
上海,整租·星月国际商务广场 2室1厅 南,整租,宝山,淞宝,星月国际商务广场,236.1,2,1,0,南,中,26,精装,链家,2天前维护,9700,9700,2026-01-06
上海,整租·黄河路125弄 1室1厅 南,整租,黄浦,人民广场,黄河路125弄,16.0,1,1,1,南,低,2,官方核验|近地铁|精装,链家,未知,3388,3388,未知
上海,整租·云麓之城 4室2厅 跃层 南,整租,宝山,罗店,云麓之城,158.43,4,2,3,南,低,6,官方核验|随时看房,链家,2天前维护,3500,3500,2026-01-06
上海,整租·棕榈滩别墅 6室2厅 复式 南,整租,奉贤,海湾,棕榈滩别墅,416.58,6,2,4,南,低,1,官方核验|精装|随时看房,链家,未知,14600,14600,未知
上海,整租·两河流域 5室2厅 复式 南/北,整租,浦东,航头,两河流域,215.08,5,2,3,南 北,低,3,官方核验,链家,4天前维护,7000,7000,2026-01-04
上海,整租·王家宅小区 1室1厅 南,整租,浦东,潍坊,王家宅小区,35.7,1,1,1,南,高,6,官方核验|近地铁|精装|随时看房,链家,未知,4000,4000,未知
上海,整租·博鸿大厦 2室1厅 南,整租,静安,江宁路,博鸿大厦,77.45,2,1,1,南,高,27,近地铁|精装|随时看房,链家,2天前维护,10000,10000,2026-01-06
